file,docType,year,roundTypesFound,subjectsFound,approxQuestionCount,error
2017 REGIONAL SICENCE 5-9.docx,full-contest,2017,General;SpeedRace;ProblemOfDay;TrueFalse;Riddle,Maths,147,
2018 (1).docx,full-contest,2018,General;SpeedRace;ProblemOfDay;TrueFalse;Riddle,,708,
2018 NSMQ Maths Questions - Copy - Copy.docx,full-contest,2018,General;SpeedRace;TrueFalse;Riddle,Maths,678,
2018 NSMQ Maths Questions - Copy.docx,full-contest,2018,General;SpeedRace;TrueFalse;Riddle,Maths,678,
2018 NSMQ Maths Questions.docx,full-contest,2018,General;SpeedRace;TrueFalse;Riddle,Maths,678,
2018.docx,full-contest,2018,General;SpeedRace;ProblemOfDay;TrueFalse;Riddle,,708,
Biology (Problem of the Day) - one-eighth to finals.docx,full-contest,,General;ProblemOfDay;TrueFalse,Biology,4,
Biology Questions Riddles.docx,subject-specific,,Riddle,Biology,40,
Biology Questions True or false-1 (1).docx,subject-specific,,TrueFalse,Biology,231,
Biology Questions True or false-1.docx,subject-specific,,TrueFalse,Biology,231,
Biology Questions True or false.docx,subject-specific,,TrueFalse,Biology,231,
Biology Riddles (2) - Copy.docx,subject-specific,,Riddle,Biology,34,
CHEMISTRY TRIAL QUIZ.docx,full-contest,,SpeedRace;TrueFalse;Riddle,Chemistry,24,
CONTEST 1 one.doc,full-contest,,General;ProblemOfDay;TrueFalse;Riddle,,76,
CONTEST 1.doc,full-contest,,General;ProblemOfDay;TrueFalse;Riddle,,76,
CONTEST 10 (1).doc,full-contest,,General;ProblemOfDay;TrueFalse;Riddle,,75,
CONTEST 10.doc,full-contest,,General;ProblemOfDay;TrueFalse;Riddle,,75,
CONTEST 11 (1).docx,full-contest,,General;ProblemOfDay;TrueFalse;Riddle,,76,
CONTEST 11-1.docx,full-contest,,General;ProblemOfDay;TrueFalse;Riddle,,76,
CONTEST 11.docx,full-contest,,General;ProblemOfDay;TrueFalse;Riddle,,76,
CONTEST 12-1.docx,full-contest,,General;ProblemOfDay;TrueFalse;Riddle,,76,
CONTEST 12.docx,full-contest,,General;ProblemOfDay;TrueFalse;Riddle,,76,
CONTEST 13-1.docx,full-contest,,General;ProblemOfDay;TrueFalse;Riddle,,76,
CONTEST 13.docx,full-contest,,General;ProblemOfDay;TrueFalse;Riddle,,76,
CONTEST 14 (1).docx,full-contest,,General;ProblemOfDay;TrueFalse;Riddle,,77,
CONTEST 14-1.docx,full-contest,,General;ProblemOfDay;TrueFalse;Riddle,,77,
CONTEST 14.docx,full-contest,,General;ProblemOfDay;TrueFalse;Riddle,,77,
CONTEST 15 (1).doc,full-contest,,General;ProblemOfDay;TrueFalse;Riddle,,76,
CONTEST 15-1.docx,full-contest,,General;ProblemOfDay;TrueFalse;Riddle,,76,
